f1,f2,soa,f1_Acc,f2_acc
cast, lump,50,1,0
cold, pond,50,0,0
chin, nail,50,1,0
cave, meal,50,1,0
club, news,50,1,0
chef, moon,50,1,0
coat, note,50,1,0
clay, name,50,0,0
code, plot,50,1,0
dirt, snow,100,1,0
desk, side,100,1,0
crow, ring,100,0,0
doll, song,100,1,0
debt, show,100,1,0
cost, pork,100,1,0
date, rose,100,1,0
deal, sand,100,1,0
cry, riot,100,1,0
crop, rail,100,1,0
draw, stem,200,1,0
fall, tour,200,1,0
dose, soup,200,1,0
exit, team,200,1,0
face, test,200,1,0
drop, stop,200,1,0
earl, talk,200,0,0
fair, tire,200,1,0
drag, star,200,1,0
fact, time,200,1,0
fear, trip,400,0,0
fish, wage,400,0,0
file, unit,400,0,0
film, user,400,0,0
banana,sprite,400,0,0
flag, wall,400,0,0
fire, vote,400,0,0
fine, view,400,0,0
fate, tree,400,0,0
farm, town,400,0,0
cards, field,600,1,0
cash, luck,600,1,0
child, party,600,1,0
candy, fever,600,1,0
carve, fork,600,1,0
clock, toast,600,1,0
climb, thick,600,1,0
cloth, tower,600,1,0
None,None,None,0,0
chunk, stain,600,1,0
chirp, spoon,600,0,0